index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
78,00009VU,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,0,0.0,1.2611084739931689e-07,1,0.0
6022805,KMT2202,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,999,0.0003348821493064856,0.0001261108473993169,1,0.0
6047465,KMW7038,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,1999,0.0006700995159796443,0.0002522216947986338,1,0.0
6040989,KMV3568,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,2999,0.0010053168826528029,0.00037833254219795065,1,0.0
6000145,KMM8881,NC,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,3999,0.0013405342493259618,0.0005044433895972676,1,0.0
5991637,KML4604,NC,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,4999,0.0016757516159991205,0.0006305542369965844,1,0.0
6015235,KMR7504,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,5998,0.0020106337653056057,0.000756538973548502,1,0.0
6007692,KMP2779,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,6998,0.0023458511319787646,0.0008826498209478188,1,0.0
6096887,KNF6264,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,7998,0.0026810684986519236,0.0010087606683471357,1,0.0
6087421,KNE1710,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,8998,0.003016285865325082,0.0011348715157464527,1,0.0
6110528,KNK2387,PA,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,9998,0.003351503231998241,0.0012609823631457694,1,0.0
