index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
78,00009VU,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,0,0.0,1.2611084739931689e-07,1,0.0
6110528,KNK2387,PA,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,9998,0.003351503231998241,0.0012609823631457694,1,0.0
5871148,KLE2971,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,19997,0.006703341681363155,0.002521964726291539,1,2.0
5946074,KLX5642,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,29991,0.010053504043894703,0.003782316535200312,1,0.0
6369128,KRU8295,NY,SRF,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,39988,0.01340467205852627,0.0050430466766512826,1,0.0
6183660,KNX9385,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,49985,0.01675584007315784,0.006303776818102254,1,0.0
6220550,KPH2767,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,59982,0.020107008087789407,0.0075645069595532246,1,0.0
5583519,KHG1794,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,69979,0.02345817610242097,0.008825237101004196,1,0.0
5409274,KFK4271,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,79975,0.026809008899685866,0.010085841131607766,1,0.0
5416776,KFL5904,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,89973,0.03016051213168411,0.011346697383906137,1,0.0
5741243,KJZ7760,NC,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,99968,0.03351100971158233,0.012607175303662309,1,0.0
5641053,KHV8915,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,109961,0.0368608368567472,0.013867401001723683,1,0.0
5678180,KJF1283,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,119956,0.04021133443664543,0.015127878921479855,1,0.0
7181868,KYC8963,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,129952,0.04356216723391032,0.016388482952083425,1,0.0
7044435,KXD7870,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,139949,0.04691333524854189,0.0176492130935344,1,0.0
7125306,KXU6139,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,149947,0.05026483848054013,0.018910069345832767,1,0.0
7457555,KZH7748,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,159943,0.053615671277805026,0.02017067337643634,1,0.0
7551080,KZU2773,NY,PAS,36,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,169939,0.05696650407506992,0.02143127740703991,1,0.0
7440339,KZG3997,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,179937,0.060318007307068155,0.02269213365933828,1,0.0
6563116,KTH2208,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,189934,0.06366917532169973,0.023952863800789252,1,0.0
6652847,KTY7425,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,199932,0.06702067855369796,0.025213720053087623,1,1.0
6511284,KSY1442,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,209929,0.07037184656832954,0.026474450194538594,1,0.0
6906281,KWF4556,NY,PAS,36,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,219926,0.0737230145829611,0.027735180335989564,1,0.0
