summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_precinct,issuer_precinct,issuer_code,violation_time,violation_county,street_name,intersecting_street,date_first_observed,law_section,sub_division,violation_legal_code,vehicle_color,vehicle_year,feet_from_curb,violation_description,lat_long,lat,long,issue_dt
4882529520,LEC7336,NY,PAS,2024-01-21T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0704P,"Queens, New York",NB WOODHAVEN BLVD @,65TH AVE,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.72006289999999,-73.8651239",40.72006289999999,-73.8651239,2024-01-21
4883672505,LEC7336,NY,PAS,2024-01-31T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,1034P,"Queens, New York",NB CROSS BAY BLVD @,149TH AVE,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6706239,-73.84271249999999",40.6706239,-73.84271249999999,2024-01-31
4884090603,LEC7336,NY,PAS,2024-02-04T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0431A,"Queens, New York",WB ATLANTIC AVE @ 86,TH ST,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6862881,-73.8557253",40.6862881,-73.8557253,2024-02-04
4884090676,LEC7336,NY,PAS,2024-02-04T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0434A,"Brooklyn, New York",WB ATLANTIC AVE @ PI,NE ST,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6814865,-73.872554",40.6814865,-73.872554,2024-02-04
4887184293,LEC7336,NY,PAS,2024-02-28T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0940A,"Brooklyn, New York",SB CYPRESS HILLS ST,@ JAMAICA AVE,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.688778,-73.87602199999999",40.688778,-73.87602199999999,2024-02-28
4894295416,LEC7336,NY,PAS,2024-04-21T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0913A,"Queens, New York",WB N CONDUIT AVE @ 8,8TH ST,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6707875,-73.847872",40.6707875,-73.847872,2024-04-21
4901594862,LEC7336,NY,PAS,2024-06-08T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0955A,"Queens, New York",NB WOODHAVEN BLVD @,65TH AVE,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.72006289999999,-73.8651239",40.72006289999999,-73.8651239,2024-06-08
4906583969,LEC7336,NY,PAS,2024-07-08T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0618P,"Brooklyn, New York",EB CONDUIT BLVD @ GL,ENMORE AVE,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6770371,-73.86974889999999",40.6770371,-73.86974889999999,2024-07-08
4907060749,LEC7336,NY,PAS,2024-07-10T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0425P,"Brooklyn, New York",WB N. CONDUIT BLVD @,76TH ST,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6777955,-73.8713409",40.6777955,-73.8713409,2024-07-10
4910317030,LEC7336,NY,PAS,2024-07-30T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,1159P,"Brooklyn, New York",EB ATLANTIC AVE @ CL,ASSON AVE,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6798999,-73.9582313",40.6798999,-73.9582313,2024-07-30
4921028291,LEC7336,NY,PAS,2024-10-09T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,0920P,"Queens, New York",NB CROSS BAY BLVD @,159TH AVE,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6591891,-73.8397681",40.6591891,-73.8397681,2024-10-09
4922852025,LEC7336,NY,PAS,2024-10-21T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,1157A,"Queens, New York",EB QUEENS MIDTOWN EX,PWY @ 69TH LN,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.7307136,-73.9147219",40.7307136,-73.9147219,2024-10-21
4923927628,LEC7336,NY,PAS,2024-10-30T00:00:00.000,36,SUBN,ACURA,V,0,0,0,0.00000000,0,0,0,1259P,"Queens, New York",WB QUEENS BLVD @ IRE,LAND ST,0,1180,B,T,WH,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.7382927,-73.8864177",40.7382927,-73.8864177,2024-10-30
4880021489,GTE6358,NY,PAS,2024-01-02T00:00:00.000,36,SUBN,JEEP,V,0,0,0,0.00000000,0,0,0,1222P,"Queens, New York",EB JAMAICA AVE @ 222,ND ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.7203229,-73.7322275",40.7203229,-73.7322275,2024-01-02
4892267624,GTE6358,NY,PAS,2024-04-05T00:00:00.000,36,SUBN,JEEP,V,0,0,0,0.00000000,0,0,0,0840P,"Queens, New York",EB LIBERTY AVE @ 173,RD ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.7045991,-73.7848489",40.7045991,-73.7848489,2024-04-05
4899773080,GTE6358,NY,PAS,2024-05-28T00:00:00.000,36,SUBN,JEEP,V,0,0,0,0.00000000,0,0,0,0626A,"Queens, New York",WB JAMAICA AVE @ 179,TH PL,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.7082019,-73.781437",40.7082019,-73.781437,2024-05-28
4905576969,GTE6358,NY,PAS,2024-07-02T00:00:00.000,36,SUBN,JEEP,V,0,0,0,0.00000000,0,0,0,0426P,"Queens, New York",EB LIBERTY AVE @ 173,RD ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.7045991,-73.7848489",40.7045991,-73.7848489,2024-07-02
